,BARRIO,Latitud,Longitud
0,AGRONOMIA,-34.59323333333334,-58.48620666666667
1,ALMAGRO,-34.60762777777778,-58.41977222222223
2,BALVANERA,-34.60884545454545,-58.402159090909095
3,BARRACAS,-34.64403,-58.38086
4,BELGRANO,-34.55564678571429,-58.45137821428572
5,BOCA,-34.63408333333333,-58.369616666666666
6,BOEDO,-34.628257142857144,-58.418014285714285
7,CABALLITO,-34.6157923076923,-58.44243461538462
8,CHACARITA,-34.5876375,-58.4500875
9,COGHLAN,-34.562375,-58.4736
10,COLEGIALES,-34.575599999999994,-58.44977
11,CONSTITUCION,-34.623925,-58.38465
12,DEVOTO,-34.599466666666665,-58.504533333333335
13,FLORES,-34.63401904761905,-58.46057142857143
14,FLORESTA,-34.62974285714286,-58.48132857142857
15,LINIERS,-34.6456,-58.513099999999994
16,MATADERO,-34.6555,-58.507
17,MATADEROS,-34.65689999999999,-58.4945
18,MONSERRAT,-34.61306470588235,-58.377764705882356
19,MONTE CASTRO,-34.6159,-58.50203333333334
20,NUEVA POMPEYA,-34.648288,-58.418362
21,NUÑEZ,-34.54687777777778,-58.462066666666665
22,PALERMO,-34.57748609756098,-58.422703902439025
23,PARQUE AVELLANEDA,-34.64465,-58.4758
24,PARQUE CHACABUCO,-34.63539,-58.4366
25,PARQUE CHAS,-34.584625,-58.483225
26,PARQUE PATRICIOS,-34.635754545454546,-58.40201181818182
27,PATERNAL,-34.59721428571429,-58.46794285714286
28,PUERTO MADERO,-34.611046153846154,-58.36224615384616
29,RECOLETA,-34.59211428571429,-58.39960476190477
30,RETIRO,-34.59362230769231,-58.378263076923076
31,SAAVEDRA,-34.554194,-58.483529999999995
32,SAN CRISTOBAL,-34.622524999999996,-58.402699999999996
33,SAN NICOLAS,-34.60340740740741,-58.37891481481482
34,SAN TELMO,-34.62155,-58.371833333333335
35,VELEZ SARFIELD,-34.6354,-58.4827
36,VELEZ SARSFIELD,-34.6295,-58.4944
37,VERSALLES,-34.6281,-58.5217
38,VILLA CRESPO,-34.60031818181818,-58.4433
39,VILLA DEL PARQUE,-34.6042125,-58.4873625
40,VILLA DEVOTO,-34.60181666666667,-58.51111666666667
41,VILLA GENERAL MITRE,-34.61196666666667,-58.46843333333334
42,VILLA LUGANO,-34.671366666666664,-58.47126666666667
43,VILLA LURO,-34.63415,-58.506625
44,VILLA ORTUZAR,-34.58206,-58.4677
45,VILLA PUEYRREDON,-34.58358,-58.50246
46,VILLA REAL,-34.630300000000005,-58.51205
47,VILLA SANTA RITA,-34.6158,-58.4809
48,VILLA SOLDATI,-34.66313333333333,-58.43483333333333
49,VILLA URQUIZA,-34.57220909090909,-58.48697272727273
