Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17339621BAEcobici,033  -  FACULTAD DE MEDICINA,169  -  FACULTAD DE PSICOLOGIA,5697,-34.5972,-58.3988,-34.6118,-58.4117,2.007367043147396
17176001BAEcobici,346  -  PLAZA ZAPIOLA,264  -  PLAZA MARCOS SASTRE,307,-34.5737,-58.4743,-34.5711,-58.4809,0.6698868359255735
17323598BAEcobici,200  -  AUSTRIA Y FRENCH,030  -  PENA,354,-34.5883,-58.4043,-34.5906,-58.3974,0.6814399962400248
17269997BAEcobici,254  -  PLAZA RAFAEL HERNANDEZ,259  -  PLAZA CASTELLI,477,-34.5625,-58.4552,-34.5679,-58.4642,1.0196508817508405
17184673BAEcobici,130  -  RETIRO II,164  -  FACULTAD DE INGENIERIA,1778,-34.5927,-58.375,-34.6173,-58.3669,2.834072563775489
17187297BAEcobici,333  -  PARQUE DE LA ESTACION,162  -  LARREA Y BARTOLOME MITRE,340,-34.608,-58.4118,-34.609,-58.4019,0.9128380440312052
17373123BAEcobici,079  -  AZUCENA VILLAFLOR,029  -  PARQUE CENTENARIO,2714,-34.612,-58.3639,-34.608,-58.4333,6.366873788675459
17345617BAEcobici,256  -  PLAZA NORUEGA,399  -  GARCIA DEL RIO,793,-34.5622,-58.4594,-34.55024,-58.4771,2.0966541235311453
17218917BAEcobici,064  -  RIOBAMBA,200  -  AUSTRIA Y FRENCH,333,-34.594,-58.3945,-34.5883,-58.4043,1.0983903464486775
17162681BAEcobici,200  -  AUSTRIA Y FRENCH,033  -  FACULTAD DE MEDICINA,507,-34.5883,-58.4043,-34.5972,-58.3988,1.110333379578019
17363483BAEcobici,080  -  VALLE,049  -  33 ORIENTALES,372,-34.6244,-58.4342,-34.6288,-58.4223,1.19371199705306
17243281BAEcobici,056  -  PLAZA PALERMO VIEJO,122  -  COSTA RICA,2216,-34.5887,-58.4262,-34.5916,-58.4204,0.62118371796942
17307783BAEcobici,292  -  PLAZA BOLIVIA,104  -  FEDERICO LACROZE,1573,-34.5635,-58.4367,-34.5876,-58.4551,3.1653223956524403
17336806BAEcobici,030  -  PENA,054  -  ACUNA DE FIGUEROA,996,-34.5906,-58.3974,-34.5982,-58.4219,2.3965442870597617
17164002BAEcobici,054  -  ACUNA DE FIGUEROA,065  -  JULIAN ALVAREZ,682,-34.5982,-58.4219,-34.5873,-58.416,1.3269042714488997
17151741BAEcobici,012  -  PLAZA VICENTE LOPEZ,030  -  PENA,3672,-34.5928,-58.3888,-34.5906,-58.3974,0.8243577503081679
