ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
202,1,FACULTAD DE DERECHO,"2120 Figueroa Alcorta, Pres. Av.",RECOLETA,COMUNA 2,VEREDA,30.0,1,-34.5842,-58.3905
2,2,RETIRO I,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",RETIRO,COMUNA 1,PLAZA ABIERTA,36.0,1,-34.5927,-58.3751
3,3,ADUANA,Moreno & Azopardo,MONSERRAT,COMUNA 1,VEREDA,20.0,1,-34.6112,-58.3696
4,4,PLAZA ROMA,Lavalle & Bouchard,SAN NICOLAS,COMUNA 1,CALZADA,20.0,1,-34.6018,-58.3691
5,5,PLAZA ITALIA,2601 Sarmiento Av.,PALERMO,COMUNA 14,VEREDA,42.0,1,-34.5808,-58.4204
6,6,PARQUE LEZAMA,"295 Garcia, Martin Av.",SAN TELMO,COMUNA 1,PLAZA ABIERTA,20.0,1,-34.6282,-58.3694
7,7,OBELISCO,"215 Pellegrini, Carlos",SAN NICOLAS,COMUNA 1,PLAZOLETA,16.0,1,-34.6058,-58.3807
8,8,CONGRESO,"Cevallos, Virrey & Yrigoyen, Hipolito Av.",SAN NICOLAS,COMUNA 1,PLAZA ABIERTA,24.0,1,-34.6101,-58.3891
9,9,PARQUE LAS HERAS,"2300 Diaz, Cnel. Av. & French",PALERMO,COMUNA 14,PLAZA ABIERTA,24.0,1,-34.5855,-58.4077
228,10,MADERO UCA,"1600 Moreau De Justo, Alicia Av.",PUERTO MADERO,COMUNA 1,VEREDA,20.0,1,-34.6170,-58.3658
11,11,TRIBUNALES,600 Talcahuano & Tucuman,SAN NICOLAS,COMUNA 1,PLAZA ABIERTA,20.0,0,-34.6017,-58.3854
12,12,PLAZA VICENTE LOPEZ,Parana & Juncal,RECOLETA,COMUNA 2,PLAZA ABIERTA,16.0,1,-34.5928,-58.3888
13,13,ONCE,Pueyrredon Av. & Rivadavia Av.,BALVANERA,COMUNA 3,PLAZA ABIERTA,30.0,1,-34.6101,-58.4066
14,14,PACIFICO,"550 Bullrich, Int. Av. & Santa Fe Av.",PALERMO,COMUNA 14,VEREDA,30.0,1,-34.5782,-58.4266
15,15,JUANA MANSO II,"Manso Juana & De La Barra, Emma",PUERTO MADERO,COMUNA 1,VEREDA,15.0,0,-34.6004,-58.3639
441,16,LEGISLATURA,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",MONSERRAT,COMUNA 1,VEREDA,20.0,1,-34.6099,-58.3750
17,17,PLAZA ALMAGRO,"441 Bulnes & Peron, Juan Domingo, Tte. General",ALMAGRO,COMUNA 5,CALZADA,20.0,1,-34.6064,-58.4185
59,18,INDEPENDENCIA,"Independencia Av. & Irigoyen, Bernardo De",MONSERRAT,COMUNA 1,PLAZOLETA,20.0,1,-34.6176,-58.3803
19,19,PLAZA SAN MARTIN,750 Santa Fe Av. & Maipu,RETIRO,COMUNA 1,PLAZOLETA,21.0,0,-34.5956,-58.3773
20,20,DISTRITO AUDIOVISUAL,Zapiola & Dorrego,COLEGIALES,COMUNA 13,CALZADA,20.0,0,-34.5801,-58.4416
21,21,PARQUE PATRICIOS,Iguazu & Uspallata,PARQUE PATRICIOS,COMUNA 4,PLAZOLETA,24.0,1,-34.6403,-58.4065
22,22,ARENALES,Cerrito & Arenales,RETIRO,COMUNA 1,PLAZOLETA,20.0,1,-34.5943,-58.3828
23,23,SUIPACHA,691 Suipacha & Viamonte,SAN NICOLAS,COMUNA 1,VEREDA,12.0,1,-34.6001,-58.3797
24,24,ALSINA,"Alsina, Adolfo&Irigoyen, Bernardo De",MONSERRAT,COMUNA 1,PLAZOLETA,18.0,1,-34.6108,-58.3806
25,25,PLAZA GUEMES,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",PALERMO,COMUNA 14,PLAZA ABIERTA,24.0,1,-34.5898,-58.4166
26,26,JUANA MANSO I,"Manso Juana & De La Barra, Emma",PUERTO MADERO,COMUNA 1,VEREDA,30.0,1,-34.6009,-58.3638
27,27,MONTEVIDEO,Cordoba Av. & Montevideo,SAN NICOLAS,COMUNA 1,VEREDA,16.0,1,-34.5994,-58.3897
28,28,PLAZA BOEDO,"3310 Calvo, Carlos & Sanchez De Loria",BOEDO,COMUNA 5,CALZADA,18.0,3,-34.6231,-58.4124
453,28,PLAZA DE LA BANDERA,Av. Gaona 5181,VELEZ SARSFIELD,COMUNA 10,VEREDA,16.0,1,-34.6295,-58.4944
29,29,PARQUE CENTENARIO,74 Patricias Argentinas Av. & Estivao,CABALLITO,COMUNA 6,PLAZA ABIERTA,30.0,1,-34.6080,-58.4333
30,30,PEÑA,Peña & Azcuenaga,RECOLETA,COMUNA 2,CALZADA,20.0,1,-34.5906,-58.3974
31,31,PADILLA,"288 Padilla & Alvarez, Julian",VILLA CRESPO,COMUNA 15,PLAZOLETA,20.0,1,-34.6031,-58.4397
32,32,CATEDRAL,67 San Martin,SAN NICOLAS,COMUNA 1,VEREDA,16.0,1,-34.6072,-58.3735
33,33,FACULTAD DE MEDICINA,"987 Uriburu Jose E., Pres. & Alvear, Marcelo T. De",RECOLETA,COMUNA 2,VEREDA,20.0,1,-34.5972,-58.3988
48,34,COLONIA EXPRESS,150 Elvira Rawson Dellepiane,PUERTO MADERO,COMUNA 4,VEREDA,16.0,1,-34.6243,-58.3623
35,35,INGENIERO BUTTY,"291 Butty, E., Ing. & Alem, Leandro N. Av.",RETIRO,COMUNA 1,PLAZOLETA,20.0,1,-34.5962,-58.3718
36,36,MAIPU,300 Maipu & Sarmiento,SAN NICOLAS,COMUNA 1,VEREDA,16.0,1,-34.6046,-58.3766
98,37,CLAUDIA PIA BRAUDACCO,Esmeralda & Rivadavia Av.,SAN NICOLAS,COMUNA 1,VEREDA,16.0,1,-34.6082,-58.3778
38,38,PLAZA LIBERTAD,"990 Cerrito & Alvear, Marcelo T. De",RETIRO,COMUNA 1,VEREDA,20.0,1,-34.5971,-58.3827
39,39,CONGRESO II,Rivadavia Av. & Parana,MONSERRAT,COMUNA 1,PLAZA ABIERTA,20.0,3,-34.6089,-58.3877
455,39,PLAZA DON BOSCO,Elpidio Gonzales 5181,VILLA LURO,COMUNA 10,CALZADA,16.0,1,-34.6265,-58.5081
