Comuna,Latitud,Longitud
COMUNA 1,-34.6072846835443,-58.375780000000006
COMUNA 10,-34.62874210526316,-58.49604210526316
COMUNA 11,-34.60623846153846,-58.48971153846154
COMUNA 12,-34.566788,-58.486623333333334
COMUNA 13,-34.558212978723404,-58.45308276595745
COMUNA 14,-34.57748609756098,-58.422703902439025
COMUNA 15,-34.592463157894734,-58.46006894736841
COMUNA 2,-34.592304999999996,-58.39937
COMUNA 3,-34.61011111111111,-58.40231851851851
COMUNA 4,-34.63976772727273,-58.39118295454546
COMUNA 5,-34.613404,-58.41928
COMUNA 6,-34.6157923076923,-58.44243461538462
COMUNA 7,-34.634461290322584,-58.45283870967742
COMUNA 8,-34.668622222222226,-58.45912222222223
COMUNA 9,-34.648788888888895,-58.49171111111111
