,Id_recorrido,nombre_estacion_origen,hora_origen
0,17415328BAEcobici,130 - RETIRO II,15
1,17599063BAEcobici,142 - ARMENIA,16
2,17575845BAEcobici,094 - GÚZMAN,19
3,17665972BAEcobici,158 - VILLARROEL,13
4,17425224BAEcobici,116 - HOSPITAL ALEMÁN,8
5,17434740BAEcobici,066 - Billinghurst,21
6,17428472BAEcobici,111 - MACACHA GUEMES,14
7,17472219BAEcobici,390 - De Los Ombues,19
8,17543367BAEcobici,191 - Rivadavia y 9 de Julio,22
9,17501887BAEcobici,208 - NICASIO OROÑO,16
10,17382079BAEcobici,114 - DELLA PAOLERA,14
11,17651369BAEcobici,103 - MALBA,12
12,17553940BAEcobici,310 - FREIRE II,19
13,17640389BAEcobici,193 - ARENALES Y AGUERO,16
14,17643798BAEcobici,117 - HUMBERTO 1°,19
15,17563130BAEcobici,044 - Ecoparque,11
16,17536772BAEcobici,174 - MINISTERIO DE EDUCACION,14
17,17417259BAEcobici,007 - OBELISCO,22
18,17483376BAEcobici,215 - HOSPITAL ALVAREZ,18
19,17533614BAEcobici,187 - Jose Maria Moreno,8
20,17547334BAEcobici,058 - Ministro Carranza,9
21,17696070BAEcobici,255 - BARRANCAS DE BELGRANO,19
22,17476651BAEcobici,347 - CARABOBO,7
23,17686674BAEcobici,140 - Las Casas,7
24,17568933BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,10
25,17491135BAEcobici,182 - RAVIGNANI Y GUATEMALA,1
26,17582846BAEcobici,137 - AZOPARDO Y CHILE,12
27,17630056BAEcobici,097 - Avelino Diaz,14
28,17391195BAEcobici,197 - PLAZA CIUDAD DE UDINE,8
29,17427366BAEcobici,229 - RIGLOS,12
30,17469236BAEcobici,166 - Cementerio de Recoleta,16
31,17653362BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,15
32,17677929BAEcobici,288 - SECRETARÍA DE DEPORTES,13
33,17432426BAEcobici,272 - Plaza Bruno Giordano,19
34,17527634BAEcobici,304 - Navarro,17
35,17446934BAEcobici,008 - Congreso,20
36,17425316BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,8
37,17509204BAEcobici,221 - CULPINA,7
38,17672036BAEcobici,350 - Plaza Irlanda,22
39,17467405BAEcobici,282 - Tronador,14
40,17382744BAEcobici,089 - Cabello,15
41,17591344BAEcobici,136 - Acevedo,23
42,17552151BAEcobici,172 - BRASIL,17
43,17634200BAEcobici,302 - ESTACION VILLA LURO,7
44,17504406BAEcobici,242 - Plazoleta Rafael del Riego,18
45,17383729BAEcobici,051 - TUCUMAN,16
46,17655898BAEcobici,073 - Ruy Díaz de Guzmán,17
47,17569070BAEcobici,030 - Peña,10
48,17392605BAEcobici,112 - 9 de Julio,10
49,17381495BAEcobici,273 - Plazoleta Colombia,13
50,17394036BAEcobici,066 - Billinghurst,13
51,17556248BAEcobici,121 - YATAY,0
52,17490677BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,23
53,17581638BAEcobici,128 - PARQUE DEL BAJO,10
54,17547750BAEcobici,183 - VIRREY CEVALLOS,10
55,17514006BAEcobici,393 - Barrio 31,15
56,17437584BAEcobici,124 - UGARTECHE,8
57,17535649BAEcobici,127 - PLAZA LEONARDO N. ALEM,12
58,17421900BAEcobici,397 - PARQUE SANTOJANNI,19
59,17464836BAEcobici,117 - HUMBERTO 1°,9
60,17578996BAEcobici,049 - 33 Orientales,5
61,17568026BAEcobici,164 - FACULTAD DE INGENIERIA,8
62,17475298BAEcobici,069 - Ecuador,1
63,17694985BAEcobici,001 - FACULTAD DE DERECHO,18
64,17648127BAEcobici,146 - Hospital Francés,7
65,17601352BAEcobici,327 - PLAZA RICCHERI,18
66,17645577BAEcobici,177 -PLANETARIO,21
67,17606657BAEcobici,258 - Plaza J.J. Paso,8
68,17568294BAEcobici,043 - PLAZA ALBERDI,9
69,17591933BAEcobici,070 - ARAOZ,1
70,17677566BAEcobici,278 - Donato Alvarez,13
71,17550674BAEcobici,222 - SIMON BOLIVAR,15
72,17654254BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,16
73,17541003BAEcobici,336 - La Pampa,19
74,17435584BAEcobici,159 - Fitz Roy & Gorriti,0
75,17407017BAEcobici,045 - Uruguay,14
76,17681781BAEcobici,131- HOSPITAL DE CLÍNICAS,18
77,17587982BAEcobici,274 - Gavilán,18
78,17474418BAEcobici,100 - Plaza Gurruchaga,23
79,17474034BAEcobici,391 - Plaza República de Ecuador,22
80,17624885BAEcobici,027 - Montevideo,15
81,17656149BAEcobici,278 - Donato Alvarez,18
82,17410390BAEcobici,397 - PARQUE SANTOJANNI,19
83,17428547BAEcobici,182 - RAVIGNANI Y GUATEMALA,14
84,17611303BAEcobici,260 - SAN MIGUEL DE GARICOITS,15
85,17608871BAEcobici,041 - PARQUE PATRICIOS II,11
86,17423905BAEcobici,182 - RAVIGNANI Y GUATEMALA,6
87,17455087BAEcobici,074 - INSTITUTO LELOIR,15
88,17501584BAEcobici,008 - Congreso,15
89,17414513BAEcobici,127 - PLAZA LEONARDO N. ALEM,11
90,17452986BAEcobici,244 - UADE,11
91,17531895BAEcobici,121 - YATAY,2
92,17536434BAEcobici,137 - AZOPARDO Y CHILE,13
93,17669082BAEcobici,257 - Plaza Francisco Ramirez,17
94,17440051BAEcobici,107 - HOSPITAL GARRAHAN,11
95,17433152BAEcobici,189 - POSADAS,19
96,17444320BAEcobici,397 - PARQUE SANTOJANNI,17
97,17447046BAEcobici,391 - Plaza República de Ecuador,20
98,17499884BAEcobici,208 - NICASIO OROÑO,12
99,17575604BAEcobici,177 -PLANETARIO,19
100,17646800BAEcobici,272 - Plaza Bruno Giordano,1
101,17508385BAEcobici,366 - VILLA OLÍMPICA,5
102,17478049BAEcobici,182 - RAVIGNANI Y GUATEMALA,10
103,17449400BAEcobici,005 - Plaza Italia,2
104,17400879BAEcobici,009 - Parque Las Heras,0
105,17611638BAEcobici,393 - Barrio 31,15
106,17625116BAEcobici,158 - VILLARROEL,15
107,17405134BAEcobici,255 - BARRANCAS DE BELGRANO,11
108,17376440BAEcobici,051 - TUCUMAN,1
109,17385552BAEcobici,033 - Facultad de Medicina,18
110,17539306BAEcobici,152 - JULIETA LANTERI,17
111,17415446BAEcobici,035 - INGENIERO BUTTY,15
112,17419218BAEcobici,083 - Paraná,11
113,17395094BAEcobici,033 - Facultad de Medicina,15
114,17515251BAEcobici,221 - CULPINA,17
115,17405240BAEcobici,255 - BARRANCAS DE BELGRANO,11
116,17489959BAEcobici,050 - Hospital Rivadavia,19
117,17407198BAEcobici,060 - 25 De Mayo,15
118,17616467BAEcobici,128 - PARQUE DEL BAJO,22
119,17672333BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,23
120,17532897BAEcobici,130 - RETIRO II,7
121,17403307BAEcobici,122 - COSTA RICA,8
122,17405817BAEcobici,061 - Ministerio de Economia,12
123,17408429BAEcobici,145 - RAVIGNANI,16
124,17553915BAEcobici,012 - Plaza Vicente Lopez,19
125,17670656BAEcobici,227 -Club Ciudad de Buenos Aires,19
126,17588554BAEcobici,079 - AZUCENA VILLAFLOR,18
127,17426219BAEcobici,370 - Beauchef,10
128,17639862BAEcobici,135 - MARCELO T. DE ALVEAR,15
129,17651011BAEcobici,135 - MARCELO T. DE ALVEAR,12
