estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje,id_viaje
130  -  RETIRO II,393  -  BARRIO 31,520,-34.5927,-58.375,-34.58309,-58.37782,1.0993228191379913,0
094  -  GUZMAN,254  -  PLAZA RAFAEL HERNANDEZ,2084,-34.5917,-58.4497,-34.5625,-58.4552,3.285706209141445,2
116  -  HOSPITAL ALEMAN,114  -  DELLA PAOLERA,1136,-34.5921,-58.4028,-34.5949,-58.3724,2.800050371801547,4
066  -  BILLINGHURST,352  -  SAN JOSE DE FLORES,1986,-34.5947,-58.4139,-34.6289,-58.4627,5.865713439784499,5
111  -  MACACHA GUEMES,004  -  PLAZA ROMA,276,-34.6048,-58.3639,-34.6018,-58.3691,0.5811952589337224,6
390  -  DE LOS OMBUES,254  -  PLAZA RAFAEL HERNANDEZ,1140,-34.56,-58.428,-34.5625,-58.4552,2.506203401074101,7
191  -  RIVADAVIA Y 9 DE JULIO,186  -  MANZANA 66,1487,-34.6084,-58.3808,-34.6135,-58.4061,2.383804605708762,8
208  -  NICASIO ORONO,028  -  PLAZA DE LA BANDERA,1448,-34.5964,-58.4594,-34.6295,-58.4944,4.879106293856444,9
114  -  DELLA PAOLERA,196  -  HOSPITAL ARGERICH,1276,-34.5949,-58.3724,-34.6278,-58.3661,3.703466755819587,10
103  -  MALBA,005  -  PLAZA ITALIA,1877,-34.5771,-58.403,-34.5808,-58.4204,1.6452718592642783,11
310  -  FREIRE II,364  -  CERRETTI Y MANUELA PEDRAZA,1490,-34.5799,-58.4443,-34.5691,-58.5003,5.26593646830121,12
193  -  ARENALES Y AGUERO,334  -  CENTRO DE EXPOSICIONES,616,-34.5909,-58.4061,-34.5841,-58.3907,1.5997273172118922,13
117  -  HUMBERTO 1°,373  -  JORGELINA DE SIMONE,560,-34.6199,-58.3742,-34.624,-58.3906,1.5683942772750266,14
044  -  ECOPARQUE,118  -  MEXICO,1536,-34.5758,-58.4143,-34.6168,-58.4027,4.681002279584723,15
174  -  MINISTERIO DE EDUCACION,130  -  RETIRO II,579,-34.5972,-58.3918,-34.5927,-58.375,1.6171349578512022,16
007  -  OBELISCO,007  -  OBELISCO,1452,-34.6058,-58.3807,-34.6058,-58.3807,0.0,17
215  -  HOSPITAL ALVAREZ,278  -  DONATO ALVAREZ,918,-34.6231,-58.4684,-34.6021,-58.4655,2.3501265309592845,18
187  -  JOSE MARIA MORENO,049  -  33 ORIENTALES,730,-34.6202,-58.4356,-34.6288,-58.4223,1.547734776758284,19
058  -  MINISTRO CARRANZA,261  -  QUINTEROS LIDORO,1120,-34.5749,-58.4353,-34.5523,-58.4509,2.890627352923313,20
255  -  BARRANCAS DE BELGRANO,390  -  DE LOS OMBUES,607,-34.5599,-58.4482,-34.56,-58.428,1.8498019947819995,21
347  -  CARABOBO,219  -  PARQUE CHACABUCO II,474,-34.626,-58.4553,-34.6363,-58.4439,1.5490805668710446,22
140  -  LAS CASAS,161  -  HUMAHUACA,1583,-34.6359,-58.4157,-34.6021,-58.4195,3.7744403234189114,23
275  -  PLAZA 24 DE SEPTIEMBRE,024  -  ALSINA,2818,-34.6071,-58.4485,-34.6108,-58.3806,6.227725918029482,24
182  -  RAVIGNANI Y GUATEMALA,015  -  AMENABAR,1112,-34.5781,-58.4351,-34.5719,-58.4475,1.328224820100553,25
137  -  AZOPARDO Y CHILE,137  -  AZOPARDO Y CHILE,1729,-34.6157,-58.3676,-34.6157,-58.3676,0.0,26
097  -  AVELINO DIAZ,333  -  PARQUE DE LA ESTACION,2834,-34.6353,-58.4275,-34.608,-58.4118,3.358405383060306,27
197  -  PLAZA CIUDAD DE UDINE,207  -  PLAZA ARENALES,829,-34.621,-58.493,-34.6001,-58.5117,2.8861102636201372,28
229  -  RIGLOS,161  -  HUMAHUACA,1599,-34.631,-58.4352,-34.6021,-58.4195,3.520076601117187,29
199  -  ESTADOS UNIDOS Y BOEDO,155  -  PARQUE JOSE EVARISTO URIBURU,851,-34.6224,-58.4158,-34.6381,-58.4112,1.7957777050858479,31
288  -  SECRETARIA DE DEPORTES,292  -  PLAZA BOLIVIA,900,-34.5472,-58.4564,-34.5635,-58.4367,2.5573004754367035,32
272  -  PLAZA BRUNO GIORDANO,080  -  VALLE,532,-34.6159,-58.4407,-34.6244,-58.4342,1.116735593805578,33
304  -  NAVARRO,055  -  HABANA,230,-34.5923,-58.492,-34.5865,-58.4949,0.6974296062221275,34
008  -  CONGRESO,147  -  CONSTITUCION,1184,-34.6101,-58.3891,-34.6261,-58.3793,1.9923570158072386,35
275  -  PLAZA 24 DE SEPTIEMBRE,272  -  PLAZA BRUNO GIORDANO,934,-34.6071,-58.4485,-34.6159,-58.4407,1.2112130995324342,36
221  -  CULPINA,167  -  HIPOLITO YRIGOYEN,1269,-34.6316,-58.4663,-34.615,-58.4273,4.017724450377843,37
350  -  PLAZA IRLANDA,136  -  ACEVEDO,570,-34.6131,-58.4572,-34.5998,-58.4428,1.9809109045348687,38
282  -  TRONADOR,267  -  PLAZA 25 DE AGOSTO,337,-34.5841,-58.4663,-34.5797,-58.4618,0.6396022400300393,39
089  -  CABELLO,001  -  FACULTAD DE DERECHO,445,-34.5825,-58.4054,-34.5842,-58.3905,1.377085092830986,40
136  -  ACEVEDO,187  -  JOSE MARIA MORENO,1217,-34.5998,-58.4428,-34.6202,-58.4356,2.3621422596454407,41
172  -  BRASIL,117  -  HUMBERTO 1°,606,-34.6254,-58.3711,-34.6199,-58.3742,0.6741543726663985,42
302  -  ESTACION VILLA LURO,197  -  PLAZA CIUDAD DE UDINE,936,-34.637,-58.5014,-34.621,-58.493,1.9380314949078372,43
242  -  PLAZOLETA RAFAEL DEL RIEGO,240  -  ECHEVERRIA,871,-34.5674,-58.4464,-34.5653,-58.4594,1.2130408554076175,44
051  -  TUCUMAN,051  -  TUCUMAN,103,-34.6014,-58.3819,-34.6014,-58.3819,0.0,45
