Id_recorrido,nombre_estacion_origen,hora_origen
17415328BAEcobici,130 - RETIRO II,15
17599063BAEcobici,142 - ARMENIA,16
17575845BAEcobici,094 - GÚZMAN,19
17665972BAEcobici,158 - VILLARROEL,13
17425224BAEcobici,116 - HOSPITAL ALEMÁN,8
17434740BAEcobici,066 - Billinghurst,21
17428472BAEcobici,111 - MACACHA GUEMES,14
17472219BAEcobici,390 - De Los Ombues,19
17543367BAEcobici,191 - Rivadavia y 9 de Julio,22
17501887BAEcobici,208 - NICASIO OROÑO,16
17382079BAEcobici,114 - DELLA PAOLERA,14
17651369BAEcobici,103 - MALBA,12
17553940BAEcobici,310 - FREIRE II,19
17640389BAEcobici,193 - ARENALES Y AGUERO,16
17643798BAEcobici,117 - HUMBERTO 1°,19
17563130BAEcobici,044 - Ecoparque,11
17536772BAEcobici,174 - MINISTERIO DE EDUCACION,14
17417259BAEcobici,007 - OBELISCO,22
17483376BAEcobici,215 - HOSPITAL ALVAREZ,18
17533614BAEcobici,187 - Jose Maria Moreno,8
17547334BAEcobici,058 - Ministro Carranza,9
17696070BAEcobici,255 - BARRANCAS DE BELGRANO,19
17476651BAEcobici,347 - CARABOBO,7
17686674BAEcobici,140 - Las Casas,7
17568933BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,10
17491135BAEcobici,182 - RAVIGNANI Y GUATEMALA,1
17582846BAEcobici,137 - AZOPARDO Y CHILE,12
17630056BAEcobici,097 - Avelino Diaz,14
17391195BAEcobici,197 - PLAZA CIUDAD DE UDINE,8
17427366BAEcobici,229 - RIGLOS,12
17469236BAEcobici,166 - Cementerio de Recoleta,16
17653362BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,15
17677929BAEcobici,288 - SECRETARÍA DE DEPORTES,13
17432426BAEcobici,272 - Plaza Bruno Giordano,19
17527634BAEcobici,304 - Navarro,17
17446934BAEcobici,008 - Congreso,20
17425316BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,8
17509204BAEcobici,221 - CULPINA,7
17672036BAEcobici,350 - Plaza Irlanda,22
17467405BAEcobici,282 - Tronador,14
17382744BAEcobici,089 - Cabello,15
17591344BAEcobici,136 - Acevedo,23
17552151BAEcobici,172 - BRASIL,17
17634200BAEcobici,302 - ESTACION VILLA LURO,7
17504406BAEcobici,242 - Plazoleta Rafael del Riego,18
17383729BAEcobici,051 - TUCUMAN,16
17655898BAEcobici,073 - Ruy Díaz de Guzmán,17
17569070BAEcobici,030 - Peña,10
17392605BAEcobici,112 - 9 de Julio,10
17381495BAEcobici,273 - Plazoleta Colombia,13
17394036BAEcobici,066 - Billinghurst,13
17556248BAEcobici,121 - YATAY,0
17490677BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,23
17581638BAEcobici,128 - PARQUE DEL BAJO,10
17547750BAEcobici,183 - VIRREY CEVALLOS,10
17514006BAEcobici,393 - Barrio 31,15
17437584BAEcobici,124 - UGARTECHE,8
17535649BAEcobici,127 - PLAZA LEONARDO N. ALEM,12
17421900BAEcobici,397 - PARQUE SANTOJANNI,19
17464836BAEcobici,117 - HUMBERTO 1°,9
17578996BAEcobici,049 - 33 Orientales,5
17568026BAEcobici,164 - FACULTAD DE INGENIERIA,8
17475298BAEcobici,069 - Ecuador,1
17694985BAEcobici,001 - FACULTAD DE DERECHO,18
17648127BAEcobici,146 - Hospital Francés,7
17601352BAEcobici,327 - PLAZA RICCHERI,18
17645577BAEcobici,177 -PLANETARIO,21
17606657BAEcobici,258 - Plaza J.J. Paso,8
17568294BAEcobici,043 - PLAZA ALBERDI,9
17591933BAEcobici,070 - ARAOZ,1
17677566BAEcobici,278 - Donato Alvarez,13
17550674BAEcobici,222 - SIMON BOLIVAR,15
17654254BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,16
17541003BAEcobici,336 - La Pampa,19
17435584BAEcobici,159 - Fitz Roy & Gorriti,0
17407017BAEcobici,045 - Uruguay,14
17681781BAEcobici,131- HOSPITAL DE CLÍNICAS,18
17587982BAEcobici,274 - Gavilán,18
17474418BAEcobici,100 - Plaza Gurruchaga,23
17474034BAEcobici,391 - Plaza República de Ecuador,22
17624885BAEcobici,027 - Montevideo,15
17656149BAEcobici,278 - Donato Alvarez,18
17410390BAEcobici,397 - PARQUE SANTOJANNI,19
17428547BAEcobici,182 - RAVIGNANI Y GUATEMALA,14
17611303BAEcobici,260 - SAN MIGUEL DE GARICOITS,15
17608871BAEcobici,041 - PARQUE PATRICIOS II,11
17423905BAEcobici,182 - RAVIGNANI Y GUATEMALA,6
17455087BAEcobici,074 - INSTITUTO LELOIR,15
17501584BAEcobici,008 - Congreso,15
17414513BAEcobici,127 - PLAZA LEONARDO N. ALEM,11
17452986BAEcobici,244 - UADE,11
17531895BAEcobici,121 - YATAY,2
17536434BAEcobici,137 - AZOPARDO Y CHILE,13
17669082BAEcobici,257 - Plaza Francisco Ramirez,17
17440051BAEcobici,107 - HOSPITAL GARRAHAN,11
17433152BAEcobici,189 - POSADAS,19
17444320BAEcobici,397 - PARQUE SANTOJANNI,17
17447046BAEcobici,391 - Plaza República de Ecuador,20
17499884BAEcobici,208 - NICASIO OROÑO,12
17575604BAEcobici,177 -PLANETARIO,19
17646800BAEcobici,272 - Plaza Bruno Giordano,1
17508385BAEcobici,366 - VILLA OLÍMPICA,5
17478049BAEcobici,182 - RAVIGNANI Y GUATEMALA,10
17449400BAEcobici,005 - Plaza Italia,2
17400879BAEcobici,009 - Parque Las Heras,0
17611638BAEcobici,393 - Barrio 31,15
17625116BAEcobici,158 - VILLARROEL,15
17405134BAEcobici,255 - BARRANCAS DE BELGRANO,11
17376440BAEcobici,051 - TUCUMAN,1
17385552BAEcobici,033 - Facultad de Medicina,18
17539306BAEcobici,152 - JULIETA LANTERI,17
17415446BAEcobici,035 - INGENIERO BUTTY,15
17419218BAEcobici,083 - Paraná,11
17395094BAEcobici,033 - Facultad de Medicina,15
17515251BAEcobici,221 - CULPINA,17
17405240BAEcobici,255 - BARRANCAS DE BELGRANO,11
17489959BAEcobici,050 - Hospital Rivadavia,19
17407198BAEcobici,060 - 25 De Mayo,15
17616467BAEcobici,128 - PARQUE DEL BAJO,22
17672333BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,23
17532897BAEcobici,130 - RETIRO II,7
17403307BAEcobici,122 - COSTA RICA,8
17405817BAEcobici,061 - Ministerio de Economia,12
17408429BAEcobici,145 - RAVIGNANI,16
17553915BAEcobici,012 - Plaza Vicente Lopez,19
17670656BAEcobici,227 -Club Ciudad de Buenos Aires,19
17588554BAEcobici,079 - AZUCENA VILLAFLOR,18
17426219BAEcobici,370 - Beauchef,10
17639862BAEcobici,135 - MARCELO T. DE ALVEAR,15
17651011BAEcobici,135 - MARCELO T. DE ALVEAR,12
17400753BAEcobici,164 - FACULTAD DE INGENIERIA,23
17453762BAEcobici,132 - CORRIENTES,13
17436851BAEcobici,138 - Hospital Britanico,7
17600903BAEcobici,018 - Independencia,18
17615183BAEcobici,158 - VILLARROEL,19
17685418BAEcobici,009 - Parque Las Heras,0
17426131BAEcobici,044 - Ecoparque,9
17658942BAEcobici,035 - INGENIERO BUTTY,21
17676793BAEcobici,137 - AZOPARDO Y CHILE,11
17684196BAEcobici,014 - Pacifico,21
17502189BAEcobici,050 - Hospital Rivadavia,16
17445355BAEcobici,099 - Malabia,18
17539720BAEcobici,032 - Catedral,18
17594218BAEcobici,003 - ADUANA,9
17653721BAEcobici,164 - FACULTAD DE INGENIERIA,15
17509896BAEcobici,014 - Pacifico,8
17445676BAEcobici,316 - Buenos Aires,19
17415101BAEcobici,220 - PLAZA FELIX LIMA,13
17542123BAEcobici,041 - PARQUE PATRICIOS II,20
